SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SkinDry

       Tissue         Frequency    Conductivity    Relative   
SkinDry                3.7910e+9     2.2048e+0     3.6760e+1  
SkinDry                3.8582e+9     2.2478e+0     3.6704e+1  
SkinDry                3.9254e+9     2.2914e+0     3.6649e+1  
SkinDry                3.9925e+9     2.3354e+0     3.6593e+1  
SkinDry                4.0597e+9     2.3801e+0     3.6538e+1  
SkinDry                4.1269e+9     2.4253e+0     3.6483e+1  
SkinDry                4.1940e+9     2.4710e+0     3.6428e+1  
SkinDry                4.2612e+9     2.5173e+0     3.6374e+1  
SkinDry                4.3284e+9     2.5641e+0     3.6319e+1  
SkinDry                4.3955e+9     2.6114e+0     3.6265e+1  
SkinDry                4.4627e+9     2.6593e+0     3.6210e+1  
SkinDry                4.5299e+9     2.7077e+0     3.6156e+1  
SkinDry                4.5970e+9     2.7566e+0     3.6101e+1  
SkinDry                4.6642e+9     2.8060e+0     3.6047e+1  
SkinDry                4.7313e+9     2.8560e+0     3.5992e+1  
SkinDry                4.7985e+9     2.9064e+0     3.5937e+1  
SkinDry                4.8657e+9     2.9574e+0     3.5883e+1  
SkinDry                4.9328e+9     3.0089e+0     3.5828e+1  
SkinDry                5.0000e+9     3.0608e+0     3.5774e+1  
SkinDry                5.0672e+9     3.1133e+0     3.5719e+1  
SkinDry                5.1343e+9     3.1663e+0     3.5664e+1  
SkinDry                5.2015e+9     3.2197e+0     3.5609e+1  
SkinDry                5.2687e+9     3.2737e+0     3.5554e+1  
SkinDry                5.3358e+9     3.3281e+0     3.5499e+1  
SkinDry                5.4030e+9     3.3830e+0     3.5443e+1  
SkinDry                5.4701e+9     3.4384e+0     3.5388e+1  
SkinDry                5.5373e+9     3.4942e+0     3.5332e+1  
SkinDry                5.6045e+9     3.5505e+0     3.5277e+1  
SkinDry                5.6716e+9     3.6073e+0     3.5221e+1  
SkinDry                5.7388e+9     3.6645e+0     3.5165e+1  
SkinDry                5.8060e+9     3.7221e+0     3.5109e+1  
SkinDry                5.8731e+9     3.7803e+0     3.5052e+1  
SkinDry                5.9403e+9     3.8388e+0     3.4996e+1  
SkinDry                6.0075e+9     3.8978e+0     3.4939e+1  
SkinDry                6.0746e+9     3.9572e+0     3.4883e+1  
SkinDry                6.1418e+9     4.0171e+0     3.4826e+1  
SkinDry                6.2090e+9     4.0774e+0     3.4769e+1  
SkinDry                6.2761e+9     4.1381e+0     3.4712e+1  
SkinDry                6.3433e+9     4.1992e+0     3.4654e+1  
SkinDry                6.4104e+9     4.2607e+0     3.4597e+1  
SkinDry                6.4776e+9     4.3226e+0     3.4539e+1  
SkinDry                6.5448e+9     4.3849e+0     3.4481e+1  
SkinDry                6.6119e+9     4.4477e+0     3.4423e+1  
SkinDry                6.6791e+9     4.5108e+0     3.4364e+1  
SkinDry                6.7463e+9     4.5743e+0     3.4306e+1  
SkinDry                6.8134e+9     4.6381e+0     3.4247e+1  
SkinDry                6.8806e+9     4.7024e+0     3.4189e+1  
SkinDry                6.9478e+9     4.7670e+0     3.4130e+1  
SkinDry                7.0149e+9     4.8320e+0     3.4070e+1  
SkinDry                7.0821e+9     4.8974e+0     3.4011e+1  
SkinDry                7.1493e+9     4.9631e+0     3.3952e+1  
SkinDry                7.2164e+9     5.0291e+0     3.3892e+1  
SkinDry                7.2836e+9     5.0955e+0     3.3832e+1  
SkinDry                7.3507e+9     5.1623e+0     3.3772e+1  
SkinDry                7.4179e+9     5.2294e+0     3.3712e+1  
SkinDry                7.4851e+9     5.2968e+0     3.3652e+1  
SkinDry                7.5522e+9     5.3645e+0     3.3591e+1  
SkinDry                7.6194e+9     5.4326e+0     3.3531e+1  
SkinDry                7.6866e+9     5.5010e+0     3.3470e+1  
SkinDry                7.7537e+9     5.5697e+0     3.3409e+1  
SkinDry                7.8209e+9     5.6387e+0     3.3348e+1  
SkinDry                7.8881e+9     5.7080e+0     3.3286e+1  
SkinDry                7.9552e+9     5.7776e+0     3.3225e+1  
SkinDry                8.0224e+9     5.8475e+0     3.3163e+1  
SkinDry                8.0896e+9     5.9177e+0     3.3101e+1  
SkinDry                8.1567e+9     5.9881e+0     3.3039e+1  
SkinDry                8.2239e+9     6.0589e+0     3.2977e+1  
SkinDry                8.2910e+9     6.1299e+0     3.2915e+1  
SkinDry                8.3582e+9     6.2012e+0     3.2853e+1  
SkinDry                8.4254e+9     6.2727e+0     3.2790e+1  
SkinDry                8.4925e+9     6.3445e+0     3.2728e+1  
SkinDry                8.5597e+9     6.4166e+0     3.2665e+1  
SkinDry                8.6269e+9     6.4889e+0     3.2602e+1  
SkinDry                8.6940e+9     6.5614e+0     3.2539e+1  
SkinDry                8.7612e+9     6.6342e+0     3.2476e+1  
SkinDry                8.8284e+9     6.7073e+0     3.2412e+1  
SkinDry                8.8955e+9     6.7805e+0     3.2349e+1  
SkinDry                8.9627e+9     6.8540e+0     3.2285e+1  
SkinDry                9.0299e+9     6.9277e+0     3.2222e+1  
SkinDry                9.0970e+9     7.0016e+0     3.2158e+1  
SkinDry                9.1642e+9     7.0757e+0     3.2094e+1  
SkinDry                9.2313e+9     7.1500e+0     3.2030e+1  
SkinDry                9.2985e+9     7.2246e+0     3.1966e+1  
SkinDry                9.3657e+9     7.2993e+0     3.1902e+1  
SkinDry                9.4328e+9     7.3742e+0     3.1837e+1  
SkinDry                9.5000e+9     7.4493e+0     3.1773e+1  
SkinDry                9.5672e+9     7.5246e+0     3.1708e+1  
SkinDry                9.6343e+9     7.6001e+0     3.1644e+1  
SkinDry                9.7015e+9     7.6757e+0     3.1579e+1  
SkinDry                9.7687e+9     7.7515e+0     3.1514e+1  
SkinDry                9.8358e+9     7.8275e+0     3.1449e+1  
SkinDry                9.9030e+9     7.9036e+0     3.1384e+1  
SkinDry                9.9701e+9     7.9799e+0     3.1319e+1  
SkinDry               1.0037e+10     8.0563e+0     3.1254e+1  
SkinDry               1.0104e+10     8.1329e+0     3.1189e+1  
SkinDry               1.0172e+10     8.2096e+0     3.1123e+1  
SkinDry               1.0239e+10     8.2865e+0     3.1058e+1  
SkinDry               1.0306e+10     8.3634e+0     3.0993e+1  
SkinDry               1.0373e+10     8.4406e+0     3.0927e+1  
SkinDry               1.0440e+10     8.5178e+0     3.0862e+1  
SkinDry               1.0507e+10     8.5952e+0     3.0796e+1  
SkinDry               1.0575e+10     8.6726e+0     3.0730e+1  
SkinDry               1.0642e+10     8.7502e+0     3.0664e+1  
SkinDry               1.0709e+10     8.8279e+0     3.0599e+1  
SkinDry               1.0776e+10     8.9057e+0     3.0533e+1  
SkinDry               1.0843e+10     8.9836e+0     3.0467e+1  
SkinDry               1.0910e+10     9.0616e+0     3.0401e+1  
SkinDry               1.0978e+10     9.1397e+0     3.0335e+1  
SkinDry               1.1045e+10     9.2179e+0     3.0269e+1  
SkinDry               1.1112e+10     9.2961e+0     3.0203e+1  
SkinDry               1.1179e+10     9.3745e+0     3.0137e+1  
SkinDry               1.1246e+10     9.4529e+0     3.0071e+1  
SkinDry               1.1313e+10     9.5314e+0     3.0004e+1  
SkinDry               1.1381e+10     9.6099e+0     2.9938e+1  
SkinDry               1.1448e+10     9.6885e+0     2.9872e+1  
SkinDry               1.1515e+10     9.7672e+0     2.9806e+1  
SkinDry               1.1582e+10     9.8459e+0     2.9740e+1  
SkinDry               1.1649e+10     9.9247e+0     2.9673e+1  
SkinDry               1.1716e+10     1.0004e+1     2.9607e+1  
SkinDry               1.1784e+10     1.0082e+1     2.9541e+1  
SkinDry               1.1851e+10     1.0161e+1     2.9475e+1  
SkinDry               1.1918e+10     1.0240e+1     2.9408e+1  
SkinDry               1.1985e+10     1.0319e+1     2.9342e+1  
SkinDry               1.2052e+10     1.0398e+1     2.9276e+1  
SkinDry               1.2119e+10     1.0477e+1     2.9209e+1  
SkinDry               1.2187e+10     1.0556e+1     2.9143e+1  
SkinDry               1.2254e+10     1.0635e+1     2.9077e+1  
SkinDry               1.2321e+10     1.0714e+1     2.9011e+1  
SkinDry               1.2388e+10     1.0794e+1     2.8944e+1  
SkinDry               1.2455e+10     1.0873e+1     2.8878e+1  
SkinDry               1.2522e+10     1.0952e+1     2.8812e+1  
SkinDry               1.2590e+10     1.1031e+1     2.8746e+1  
SkinDry               1.2657e+10     1.1110e+1     2.8679e+1  
SkinDry               1.2724e+10     1.1189e+1     2.8613e+1  
SkinDry               1.2791e+10     1.1268e+1     2.8547e+1  
SkinDry               1.2858e+10     1.1347e+1     2.8481e+1  
SkinDry               1.2925e+10     1.1426e+1     2.8415e+1  
SkinDry               1.2993e+10     1.1506e+1     2.8349e+1  
SkinDry               1.3060e+10     1.1585e+1     2.8283e+1  
SkinDry               1.3127e+10     1.1664e+1     2.8217e+1  
SkinDry               1.3194e+10     1.1743e+1     2.8151e+1  
SkinDry               1.3261e+10     1.1822e+1     2.8085e+1  
SkinDry               1.3328e+10     1.1901e+1     2.8019e+1  
SkinDry               1.3396e+10     1.1979e+1     2.7954e+1  
SkinDry               1.3463e+10     1.2058e+1     2.7888e+1  
SkinDry               1.3530e+10     1.2137e+1     2.7822e+1  
SkinDry               1.3597e+10     1.2216e+1     2.7757e+1  
SkinDry               1.3664e+10     1.2295e+1     2.7691e+1  
SkinDry               1.3731e+10     1.2373e+1     2.7625e+1  
SkinDry               1.3799e+10     1.2452e+1     2.7560e+1  
SkinDry               1.3866e+10     1.2531e+1     2.7495e+1  
SkinDry               1.3933e+10     1.2609e+1     2.7429e+1  
SkinDry               1.4000e+10     1.2688e+1     2.7364e+1  
